worker_location,Skill,Price,SuccessRate
Serbia,"Python,DjangoFlask,JavaScript,jQuery,Selenium,Python Numpy,scikit-learn,CSS,Git",30,95
Mexico,"2D Design,Adobe PhotoshopAdobe Illustrator,Graphic Design,Fashion Illustration,Fashion Design,Design Patterns,Made-to-Measure,Clothing,3D Design",20,100
Ukraine,"Google Ads,Data AnalysisFacebook Marketing,Instagram Marketing,Social Media Marketing,Search Engine Marketing,WordPress,Lead Generation,ClickFunnels,YouTube Marketing",200,100
United States,"ASP.NET,C#SQL,JavaScript,AngularJS,jQuery,Twitter Bootstrap,ASP.NET MVC,ASP,Knockout.js",45,98
Argentina,"Content Writing,GhostwritingCreative Writing,eBook Writing,Proofreading,Website Copywriting,Article Rewriting,SEO Writing,Blog Writing,Copywriting",30,89
United States,"Magento 2,MagentoPHP,MySQL,Smarty,PayPal Development,API Development,CakePHP,Facebook Development,jQuery",15,
Turkey,"Graphic Design,Magazine LayoutIllustration,Infographics,Logo Design,Poster Design,Corporate Brand Identity,Brochure Design,Cover Art Design,Data Visualization",90,100
Albania,"Cinematography,VideographyPhotography,Video Editing,Photo Editing",150,
United States,"Translation Albanian English,Translation English AlbanianESL Teaching",20,
United States,"Project Management,Management ConsultingMicrosoft Office,Virtual Assistant,Executive Coaching,Call Support,Training Design,Training,Workshop Facilitation,Administrative Support",13,
Colombia,"Illustration,Graphic DesignSticker Design,Poster Design,Character Design,Adobe Photoshop,Adobe Illustrator",28,100
India,"KeyShot,3D Rendering3D Animation,3D Modeling,Photorealistic Rendering,Jewelry Rendering,3D Visualization,Product Rendering,3D drawing,High-Quality Rendering",40,95
Sri Lanka,"Clipping Path,Image EditingImage Processing,Retouching,Photo Manipulation,Photograph Color Correction,VectorWorks,Graphic Design,Logo Design,Adobe Photoshop",8,82
Ukraine,"CAD Drafting,SketchUp3D Rendering,3D Animation,Space Planning,MS Excel,Microsoft Word,Photo Editing,Interior Design,Visual Presentation Design",10,
Luxembourg,"Animation,IllustrationGraphic Design,Web Design,Motion Graphics,Adobe Creative Suite,Video Editing,2D Animation,Character Design,Cartooning",30,100
United States,"Logo,Adobe PhotoshopAdobe Illustrator,Adobe InDesign,Logo Design,Corporate Branding,Branding,Graphic Design,Stationery Design,Packaging Design",28,
Croatia,"WordPress,SquarespaceJavaScript,Python,Copywriting,Marketing Strategy,Project Management Capability,UX/UI,HTML,CSS",80,96
Ukraine,"Photo Editing,Logo DesignAudio Design,3D Design,3D Modeling,Adobe Illustrator,Adobe Photoshop,Autodesk Maya,Adobe Audition,Ableton Live",12,97
United States,"Adobe Photoshop,Adobe IllustratorIllustration,Graphic Design",28,97
Ukraine,"Branding,Branding StrategyLogo Design,Stationery Design,Corporate Brand Identity,Web Design,Letterhead Design,Banner Ads,Adobe Illustrator,Adobe Photoshop",35,
Egypt,"Employee Training,Instructional DesignGraphic Design,Infographics,Social Media Training,Workshop Facilitation,Team Facilitation,Employee Engagement,Lean Consulting,Training Online LMS",50,100
United States,"Illustration,Digital IllustrationEditorial,Adobe Photoshop,Drawing,Character Design,Book Cover Design,Album Cover Design,Cover Design,Product Label",15,
Ukraine,"Payment Gateway Integration,Website DevelopmentShopify,Web Design,WooCommerce,Drupal,WordPress,Magento,PHP,Joomla",25,96
United States,"Video Production,AnimationPresentation",30,
United Kingdom,"Social Customer Service,WritingCustomer Support,Article Writing,Virtual Assistant,Social Media Management,English Proofreading,Data Entry,Content Writing,Web Research",20,77
United Kingdom,"Translation English Indonesian,Translation Indonesian EnglishTranslation English German,Translation German English,Proofreading,Data Entry,Transcription,Customer Support,CRM Entries",20,99
United States,"Product Design,3D Rendering3D Animation,Packaging Design,Presentation Design,Blender,Adobe Photoshop",45,100
Ireland,"HTML5,CSS3JavaScript,Git,Less,Sass,Adobe Photoshop,Frontend Development,Node.js,MongoDB",20,
Romania,"Public Relations,TranslationEditorial Translation,Website Translation,Financial Translation,Translation English Japanese,Translation Japanese English,Editing & Proofreading,Subtitles,Tutoring",50,100
United States,"Translation English Spanish,Spanish - Castilian (Spain)English,Proofreading,English Proofreading,Spanish Proofreading,Translation,Transcreation,Legal Translation,Translation Spanish English",30,100
Venezuela,"Musical Composition,DrumsMusic Arrangement,Music Engraving,Music,Piano,Piano Composition,Jazz,Lyrics Writing",100,
Macedonia,"Copywriting,SEO WritingArticle Writing,Blog Writing,Creative Writing,Marketing Communications,Website Copywriting,Content Marketing Strategy,Digital Marketing Strategy,Branding Strategy",50,82
Georgia,"Comic Writing,CopywritingCopyediting,Video Editing,Film Production,Editing,Video Production,Comedy Writing,Scriptwriting,Humor Writing",60,93
India,"Adobe Photoshop,Adobe IllustratorPhoto Editing,Adobe InDesign,Animation,Video Editing,Adobe Premiere Pro,Adobe After Effects,Logo Design,Layout Design",10,91
Trinidad and Tobago,"Editing,English ProofreadingLine Editing,Copyediting,Developmental Editing,Fiction,Non-Fiction",30,
Ukraine,"Infusionsoft Administration,InfusionSoft MarketingInfusionsoft Development,WordPress,Project Management,Shopify,Ecommerce Platform Development,Mobile App Development",60,98
Ukraine,"Logo Design,Graphic DesignLabel and Package Design,Adobe Illustrator,Adobe Photoshop,Illustration,Corporate Brand Identity,Web Design,Print Design,Creative & Talent",20,100
Ukraine,"Adobe Illustrator,IllustrationTextile Design,Adobe Photoshop,Brochure Design,Technical Illustration,Vector Graphics,Digital Illustration",25,89
United States,"Adobe Photoshop,Adobe Photoshop LightroomPhoto Editing",20,96
Macedonia,"Mixing,MasteringAudio Post Production,Musical Composition,Sound Effects,Game Audio,Wwise Audiokinetic,FMOD,Audio Effects,Sound Design",60,100
Canada,"Adobe Photoshop,Adobe Photoshop LightroomRetouching,Fashion Retouch,Photograph Color Correction,Wedding Photography,Photo Editing,Photobook,Photobook Design,Photography",10,100
Sri Lanka,"Microsoft PowerPoint,PresentationPresentation Design,Adobe Illustrator,Keynote,Google Slides,Graphic Design,Logo Design,Infographics,Data Visualization",50,100
Argentina,"HL7,FHIRHealth Level 7,Java,E4X,Electronic Medical Record (EMR),JavaScript,Electronic Data Interchange (EDI),Apache NiFi,Mirth Connect",74.87,100
United States,"Startup Consulting,Venture Capital ConsultingBusiness Plan,Financial Modeling,Management Consulting,Business Coaching,Market Research,Corporate Finance,Presentation,Financial Writing",135,100
United States,"Legal Consulting,Contract DraftingDerivatives,Investment Banking,Policy Writing,Military,International Law,Non-Disclosure Agreements,Price/Quote Negotiation,Paralegal",80,
Philippines,"2D Design,Adobe PhotoshopCorelDRAW,Corel Painter,Adobe Illustrator,marker,keras",12,100
Ukraine,"Web Design,Flyer DesignPhoto Editing,Poster Design,Business Card Design,Logo Design,Image Editing,Video Editing,Minimal,Graphic Design",33.75,79
Ukraine,"Adobe InDesign,Logo DesignTypography,Print Design,Infographics,eBook Design,Flyer Design,Brochure Design,Adobe Photoshop,Adobe Illustrator",25,100
Bangladesh,"Illustrations,Adobe IllustratorAdobe Photoshop,Digital Design,Logo Design,Poster Design,Portrait Painting,Vector Graphics,Art & Design,Line Drawing",30,100
Philippines,"API Integration,RESTful APIAPI Development,WordPress,PHP,Laravel,Shopify,WordPress Plugin,Plugin Development,Inventory Management",30,96
United States,"The Foundry NUKE,Adobe PremiereAdobe After Effects,Chroma Key,Green Screen Videos,Motion Graphics,VFX Design,VFX Animation,Adobe Photoshop,Adobe Illustrator",15,96
Brazil,"Illustration,Watercolor PaintingPortrait Painting,Caricature Drawing,Adobe Illustrator,Adobe Photoshop,Acrylic Painting,Portraiture,Medical,Vector Graphics",40,94
United States,"Adobe Photoshop,Adobe IllustratorWeb Design,User Interface Design,Graphic Design,User Experience Design,Branding,Wireframing,Adobe XD,Figma",30,97
Russia,"Voice Over,Audio EditingTranslation Nepali English,Translation Hindi English,Voice Talent,Male Voice Over,Interactive Voice Response",60,100
Ukraine,"Social Media Content,Social Media ManagementSocial Media Posts,Social Media Marketing,Social Media,Facebook Advertising,Facebook Marketing,Social Media Strategy,Social Media Post,Social Media Marketing Plan",25,90
Canada,"Website Prototyping,Graphic DesignMobile UI Design,Interaction Design,CSS3,User Research,UX Design,Figma,Sketch",30,
Ukraine,"Operations Management,OntraportWordPress,Lead Generation,Content Management,Growth Hacking,SEO,Financial Analysis,Financial Writing,Forex Trading",87.5,92
United States,"Book Cover Design,InfographicsLogo Design,Magazine Layout,Presentation Design,Typography,Web Design,Poster Design,Branding,UI/UX Prototyping",25,89
United States,"Translation Dutch French,Translation English FrenchTranslation English Dutch,Translation French Dutch,SDL Trados,Proofreading,Article Writing,Localization,WordPress,Blog Writing",10,100
Ukraine,"Voice Over American Accent,Voice TalenteLearning Multimedia,Narration,Audio Editing,Interactive Voice Response,Voice Acting,Voice Over American Accent,Audacity",35,97
India,"Advertising,Adobe InDesignAdobe Photoshop,Adobe Illustrator,Graphic Design,Retouching,Magazine Layout,Banner Ad Design,Packaging Design,Editorial Design",30,100
Philippines,"Data Analysis,PythonData Mining,Dashboard,Exploratory Data Analysis,Python Pandas,Microsoft Excel,Data Visualization,Power Query",35,
India,"Project Management Professional,Agile Project ManagementProject Scheduling,Project Management Office (PMO),Project Timeline,Business Cases,Stock Options,Derivatives,Forex Trading,Market Analysis",150,100
United States,"Video Editing,Color GradingVideo Animation,Video Design,Video Color Correction,Music Videos,Video Post Editing,Adobe Photoshop,Photography,Retouching",45,100
Poland,"Voice Over,Voice TalentVoice Acting,Voice Recording,Voice Over American Accent,Voice-over Recording,Voice Over English",30,98
Ukraine,"2D Animation,Whiteboard AnimationAnimation,Motion Graphics,Videography,Visual Arts,IT Management",60,100
Japan,"Analysis,Solar EnergyWind Power Consulting,WInd Farm Evaluation,Finance,Consulting,Translation,Translation Japanese English,French,Translation French English",40,
Venezuela,"React Native,Objective-CJava,PostgreSQL,Xamarin,Ionic Framework,MySQL,Firebase,MongoDB,Swift",40,
United States,"Web Design,Web/graphic DesignLogo Design,Squarespace,JavaScript,HTML,CSS,React,Logo,Social Media Content Creation",65,100
United States,"WordPress,WooCommerceAdobe Illustrator,Adobe Photoshop,Web Design,Website Development,WordPress e-Commerce,Ecommerce Platform Development,Frontend Development,Plugin Customization",33,
United States,"Graphic Design,Logo DesignBusiness Card,Flyer Design,Letterhead Design,Banner Ads,Brochure,Logo,Clothing,Corporate Branding",7,
Ukraine,"Architectural Rendering,Interior ArchitectureExterior Rendering",20,100
Russia,"Data Analysis,Data AnalyticsMicrosoft Excel,Data Entry,Microsoft Excel PowerPivot,VBA,Excel VBA,Spreadsheets,Google Docs,MS Excel",40,
United States,"Logo Design,Brand ManagementAdobe Illustrator,Adobe Photoshop,Label and Package Design,UX/UI,Graphic Design,WordPress Website,Web/graphic Design,UI Graphics",15,
New Zealand,"Branding Strategy,Marketing StrategyMarket Research,User Experience Design,Product Development,Management Consulting,Pricing Strategy Consulting,Startup Consulting,Competitive Analysis",375,100
India,"Explainer Video,Video AnimationCorporate Video,Video Production,Video Editing,Animation,2D Animation,Adobe After Effects,Adobe Premiere Pro,Whiteboard Animation",50,100
Argentina,"Translation,Italian ProofreadingEnglish Proofreading,Transcription,Translation Italian English,Translation English Italian",25,100
Serbia,"Autodesk AutoCAD,Autodesk RevitAdobe Photoshop,Data Entry,Lumion,Computer Skills,General Office Skills,Modeling,Translation,Graphic Design",15,96
United States,"Copywriting,Translation English SpanishTranslation Spanish English",62.5,94
Brazil,"Logo Design,Photo EditingPhotography,Adobe Illustrator,Digital Photography,Adobe Photoshop,Graphic Design,Branding,Banner Ad Design,Book Cover Design",15,93
Ukraine,"Healthcare & Medical,Editing & ProofreadingContent Writing,Research Papers,Pharmaceutical Industry,Ghostwriting,Academic Writing,Scientific Writing,Medical Editing,Blog Content",50,
Philippines,"Mobile UI Design,User Interface DesignUser Experience Design,Sketch,Responsive Web Design,iPhone UI Design,Mobile App Design,UX/UI,Web Design,Figma",75,100
Canada,"Graphic Design,Logo DesignLabel and Package Design,Adobe Illustrator,Adobe Photoshop,Corporate Brand Identity,Packaging Design,Print Design,Adobe InDesign,Typography",150,99
Canada,"Illustration,Cartography & MapsDigital Mapping,Watercolor Painting",30,98
India,"Presentation Design,Corporate FinanceMicrosoft PowerPoint,Pitch Deck,Sales,Training,Business,Finance,Data Visualization,Visual Presentation Design",85.75,100
Ukraine,"Voice Over American Accent,Voice Over Australian AccentVoice Over British Accent,Voice Talent,Voice Acting,Narration,Audiobook,Audio Editing,Mastering,Voice Recording",70,
Ukraine,"Data Science,Machine LearningPython,Scalr,R,Artificial Intelligence,HubSpot,Database,Machine Learning Model,TensorFlow",25,86
United States,"Google Data Studio,Google AnalyticsData Visualization,Quantitative Analysis,Google Ads,Google Sheets,MySQL,SQL Programming,Supermetrics,API",50,96
United States,"Python,RSQL,pandas,NumPy,Data Extraction,Data Visualization,Data Mining,Natural Language Processing,Machine Learning",75,
United States,"Voice Over,Male Voice OverVoice Over American Accent,Voice-over Recording,Medical Narration,Narration,Audiobook/Podcast,Voice Acting,Voice Talent,Voice Recording",150,96
Pakistan,"Avada Theme Customization,WooCommerceElementor,WordPress Website,SEO,Page Speed Optimization,Technical SEO,WordPress e-Commerce,Web Design,Website Redesign",15,84
India,"Customer Service,ParalegalSales,Drop Shipping,Fraud Analysis,Fraud Mitigation,Order Management,Chat Support,Data Entry",8,100
Spain,"On-Page SEO,Off-Page SEOWix SEO Wiz,Shopify SEO,SEO Keyword Research,WordPress SEO Plugins,Local SEO,SEO Report,Logo Design,Vector Tracing",10,74
Ukraine,"Adobe After Effects,Adobe PhotoshopVideo Editing,Adobe Premiere,TV Broadcasting,Motion Graphics,Audio Editing,Tutorial,DaVinci Resolve",150,100
India,"Motion Graphics,2D Animation3D Animation,Logo Animation,Explainer Video,2D & 3D Logo Animation,Adobe After Effects,Adobe Premiere Pro,Video Editing,Maxon Cinema 4D",30,100
United Kingdom,"Adobe Photoshop,Adobe IllustratorAdobe InDesign,Illustration,Logo Design,Banner Ads,Flyer Design,Retouching,Infographics,Graphic Design",14,69
Ukraine,"Appointment Setting,Lead GenerationWeb Research,Internet Research,Microsoft Excel,Data Collection,Database,Data Entry,Lead List,Sales Lead Lists",20,89
Monaco,"Legal Research,Patent LawLegal,Business",50,89
Ukraine,"Presentation Design,PresentationManagement Consulting,Marketing Strategy,Business Consulting,Sales,Pitch Deck,Pitch Decks,Venture Capital Consulting,Investment Preparation",45,91
Ukraine,"Chartered Financial Analyst (CFA),Portfolio ManagementExcel VBA,Investment Research,Investment Strategies,MS Excel,VBA,Consulting,Financial Modeling,Financial Analysis",125,100
France,"Translation,Translation English KoreanKorean,English,Proofreading,Data Entry,Research,Market Research,Subtitles,Adobe Premiere Pro",42,99
United States,"Internet Research,Data ScrapingLead Generation,Project Management,LinkedIn Recruiting,Data Entry,Real Estate Management,CRM,WordPress,Microsoft Excel",5,93
Russia,"Laravel,PHPCodeIgniter,AngularJS,Web Scraper,Python,TypeScript,Ruby on Rails,XenForo,Shopify",33,
Russia,"Recipe Writing,Translation English Frenchnan",25,100
United States,"Film Production,Video ProductionMusic Production,Audio Post Production,Audio Design,Mixing,Cakewalk Sonar,iZotope RX,Adobe Premiere Pro,Film Dubbing",25,99
Ukraine,"Translation,Translation Hebrew EnglishTranslation Hebrew Arabic,Translation English Hebrew,Translation Arabic Hebrew,Legal Translation,Transcription",5,92
Ukraine,"Translation,ProofreadingWriting,Portuguese - Brazilian,Translation English Brazilian Portuguese,Website Localization,Brazilian Portuguese,Portuguese,Forex Trading,Cryptocurrency",20,100
United States,"Autodesk 3ds Max,Adobe PhotoshopChaos Group V-Ray,Architectural Rendering,Autodesk AutoCAD,Drafting,Drawing,2D Design,3D Design,3D Rendering",20,93
United States,"Web Design,Graphic DesignAdobe Photoshop,PDF Conversion,Microsoft PowerPoint,Microsoft Excel,Microsoft Word,Logo Design,Social Media Marketing,Video Editing",10,98
United States,"Answering Product Questions,Chat SupportPhone Support,Email Support,File Management,Google Spreadsheets,Microsoft Word,Social Media Post,Community Engagement,Social Media Management",8,96
Canada,"Google Ads,Google AnalyticsPay Per Click,Search Engine Marketing,Conversion Rate Optimization,Yahoo! Advertising Solutions,Facebook Marketing,Bing Ads,Google Tag Manager,Yahoo! Search Marketing",65,98
United States,"Forex Trading,MQL 4MetaTrader 4,Financial Writing,Statistics",60,100
Ukraine,"Voice Acting,SingingVoice Talent,Audio Production,Voice Over,Voice Recording,Vocals",30,100
Pakistan,"Revit Architecture Suite,Autodesk AutoCADSketchUp,Autodesk 3ds Max,Chaos Group V-Ray,Architecture,Interior Design,Illustration,Adobe Illustrator",20,100
Russia,"Technical Translation,Translation English SpanishTranslation Spanish English,Spanish English",8,
Serbia,"Translation English Ukrainian,Translation Russian EnglishEnglish Proofreading,Transcription,English Grammar,English Spelling,English Tutoring,Legal Translation,Technical Translation,Teaching English",10,97
United States,"Google Ads,Google AnalyticsPay Per Click Advertising,Search Engine Marketing,Google Webmaster Central,SEO,Conversion Rate Optimization,User Experience Design,Google Data Studio,Amazon Seller Central",110,
United States,"Microsoft Sharepoint,Office 365Automation,Dashboard,Microsoft Excel,Process Improvement,Microsoft Visio,Process Design,Microsoft Flow,Lean Consulting",50,100
United States,"Linux System Administration,DevOpsAnsible,Bash Shell Scripting,Docker,Amazon Web Services,Python,Virtualization,Kubernetes,Terraform",18,64
Philippines,"HTML5,CSS3JavaScript,jQuery,Bootstrap,Frontend Development,Responsive Web Design,Landing Page,PSD to HTML",20,96
United Kingdom,"Writing,Resume WritingContent Writing,Cover Letter Writing",125,80
Egypt,"Content Writing,Article WritingBlog Writing,SEO Writing,Copywriting,Ghostwriting,Transcription,Editing & Proofreading,Writing,Newsletter Writing",20,80
United States,"Adobe Photoshop,Digital IllustrationDrawing,Children's Book Illustrator,Book Cover Design,Storybook,Illustration,Character Design,Colorful,2D Design/Drawings",25,100
Serbia,"Voice Over,Voice Over American AccentFemale Voice Over",35,
Ukraine,"Character Animation,3D Rigging2D & 3D Logo Animation,Motion Graphics,Adobe After Effects,explainer videos,Logo Design,UX/UI,Branding,Packaging Design",50,95
United States,"Explainer Video,Video AnimationCorporate Video,Video Production,Video Editing,Animation,2D Animation,Adobe After Effects,Adobe Premiere Pro,Whiteboard Animation",90,100
Belarus,"Logo Design,Graphic DesignBrand Identity,Adobe Photoshop,Adobe Illustrator,Packaging Design,Label and Package Design,Business Card Design,Brand Guidelines",35,
United States,"Adobe Photoshop,Adobe InDesignImage Editing,Adobe Illustrator,Microsoft Word,Photo Manipulation,Print Advertising,Retouching,Technical Documentation,Adobe Acrobat",12,100
Spain,"Music,Music ArrangementMixing,Songwriting,Music Production,Mastering,Audio Editing,Audio Engineering,Sound Design,Audio Production",20,
Canada,"Business Valuation,Mergers & AcquisitionsMarketing,Brochure,Website Copywriting,Technical Case Study,Information & Communications Technology,Slang-style Writing,Translation English Spanish,Translation Spanish English",18,
United States,"Video Editing,Audio EditingVideo Production,Adobe Premiere Pro,Adobe Audition,Final Cut Pro",25,
India,"English,ArabicVideo Editing,Content Creation,Video Ads,Video Production,Adobe Photoshop,Adobe Premiere Pro,Art & Design,Adobe After Effects",10,85
United States,"Translation,LaTeXAcademic Translation,Translation Spanish English,Translation English Spanish,Translation French English,Translation French Spanish,Translation Spanish French,Physics,Mathematics",8,98
United States,"Data Encoding,Data EntryMicrosoft Excel,Google Spreadsheets,Spreadsheets,Internet Research,Email Handling,Online Research,Product Research,Typing",5,88
United States,"Illustration,3D ModelingAnimation,3D Design,3D Animation,3D Rendering,Autodesk Maya,Adobe After Effects,Adobe Photoshop,Drawing",24,100
Pakistan,"Transcription,Legal TranscriptionTyping,English Spelling,English Grammar,English Punctuation,Proofreading,PDF Conversion",15,76
Ukraine,"Photo Editing,Adobe PhotoshopColor Correction/Filters,Retouching,Clipping Path,Adobe Photoshop Lightroom,Color Grading,Photo Manipulation,Image Editing",12,100
Philippines,"Autodesk Revit,Autodesk AutoCADAutodesk Navisworks,2D Design,SketchUp,BIM Modeling,Architecture Design,CAD Drafting,Construction Document Preparation,Work Permits",20,100
Romania,"JavaScript,TypeScriptBlockchain,Cloud Computing,WordPress,Systems Security,Entrepreneurship,Docker,Web Application,Mobile App",50,
United States,"2D Animation,Adobe PhotoshopAdobe After Effects,Video Editing,Motion Graphics,Animation,3D Animation,Whiteboard Animation,Autodesk 3D Studio Max,Blockchain",35,100
Ukraine,"English,PythonUI/UX Prototyping,UI Graphics,UX Design,Graphic Design,Fluid UI,Adobe XD,Adobe Photoshop",7,
Armenia,"Voice Acting,Male Voice OverVoice Recording,Voice Talent,Audio Editing,Voice Over,Voice Over English,Proofreading,English Proofreading",100,100
United States,"Translation English Spanish,Translation Spanish EnglishTranslation,Spanish - Latin America,Website Localization,Software Localization,Spanish - Castilian (Spain),Medical Translation,Technical Translation,Spanish Proofreading",32,100
United States,"Autodesk AutoCAD,2D Design3D Design,Exterior Rendering,Interior Design,Autodesk 3ds Max,Adobe Photoshop,Residential,Floor Plan Design,Architectural Design",8,
United States,Adobe Creative Suitenan,45,
India,"Chinese,Voice OverVoice Talent",22.22,100
United States,"CAD,CAD/CAM Software3D Design,Rhino 6,Rhinoceros 3D,3D,3D Design,3D Modeling,3D Rendering,V-Ray",25,
South Korea,"Voice Over,Voice ActingVoice Over American Accent,Voice Over English,Male Voice Over,Voice Talent,Audio Editing,Narration,Adobe Audition",100,100
Pakistan,"FileMaker Pro,Microsoft Access ProgrammingVisual Basic,MySQL Programming,Technical Support,Technical Advisor,Systems Development,Database Programming,IT Management,Database Design",50,
India,"Photography,Photo EditingRetouching,Adobe Photoshop,Product Photography,Fashion Photography,Wedding Photography,Portrait Photography,Events",150,100
Canada,"Poetry,EnglishLetter Writing,Cover Letter Writing,Short Story Writing,WordPress,Children's Writing,Children's Literature,Literature Review",75,100
Argentina,"Brand Strategy,BrandingWebsite Copywriting,Web Design,Website Development,Presentation Design,Webflow,Web/graphic Design,UX Design,Wix",110,
Egypt,"Email Support,ZendeskDesk.com,Shopify,Customer Service,Virtual Assistant,Executive Assistant,CRM,Slack,Asana",20,
Brazil,"Corporate Brand Identity,Packaging DesignAdobe Illustrator,Adobe Photoshop,Adobe InDesign,Web Design,GUI Design,Mobile UI Design,Logo Design,Graphic Design",50,100
United States,"Academic Translation,Technical TranslationEditorial Translation,Translation English Persian,AMP Web Development,Technical Writing,Academic Writing,Academic Proofreading,English Proofreading,Translation Persian English",54,100
Philippines,"Shopify,WixWordPress,SEO,WooCommerce,Responsive Design,Shopify Theme,Liquid,HTML,Graphic Design",9,72
Philippines,"Shopify,Shopify AppsShopify Templates,Shopify Plus,HTML5,CSS3,JavaScript,eCommerce Website,Liquid,Landing Page",50,100
United States,"Adobe Illustrator,Adobe PhotoshopInternet Marketing,Adobe Flash,Microsoft Word,Adobe InDesign,Adobe Dreamweaver,Advertising,Web Design,Microsoft PowerPoint",46,90
Ukraine,"Social Media Content,Social Media ManagementSocial Media Marketing,Wordpress Theme,Shopify,Customer Service,Real Estate,Blog Content,Content Writing,Product Research",10,100
United States,"Sound Effects,MixingAudio Restoration,Foley Art,Dialog Editing,Foley Effects,Production Sound Mixing,Music Arrangement,Music Production,Audio Production",20,91
Brazil,"Adobe Illustrator,Adobe PhotoshopFigma,Web Design,Responsive Web Design,Landing Page,UX Design,Branding,Business Card Design,Product Design",25,100
Argentina,"Voice Over,Voice ActingVoice Talent,Voice Over English,Voice Over British Accent,Voice Over American Accent,Voice Over Australian Accent,Female Voice Over,Interactive Voice Response",50,
Ukraine,"Interior Architecture,Exterior RenderingArchitecture Design,Communication,3D Visualization,3D Animation,Adobe Photoshop,Adobe Photoshop Lightroom,Sony Vegas,SketchUp",20,
Ukraine,"Architectural Design,Interior Design3D Rendering,3D Modeling,V-Ray,Lumion,SketchUp,Autodesk AutoCAD,3D Animation,Adobe Photoshop",50,99
United Kingdom,"Photo Editing,Adobe PhotoshopRetouching,Fashion Retouch,Photo Manipulation,Photograph Color Correction,Adobe Photoshop Lightroom,Digital Art,Digital Painting,Photography",78,100
United Kingdom,"Illustration,Flat DesignWeb Design,Adobe Illustrator,Adobe Photoshop,Graphic Design,Pop Art,Logo Design,Watercolor Painting,2D Game Art",30,100
Egypt,"Character Design,Digital IllustrationSketching,Storyboarding,Adobe Photoshop,Adobe Illustrator,Concept Art,Caricature,Graphic Design,Logo",20,100
Egypt,"ASP.NET MVC,C#SQL,ASP.NET,jQuery,HTML5,Objective-C,Swift,AngularJS,MySQL Programming",31.25,94
United States,"Logo Design,Banner Ad DesignIcon Design,Brochure Design,Web Design,Illustration,Graphic Design",25,94
United States,"Social Media Management,Digital MarketingDigital Marketing Strategy,SEO Audit,Google Ads,Google AdSense,Google AdWords Development,Market Research,Graphic Design,Branding",40,
United States,"Proofreading,WritingEditing,Literature Review,Teaching English,Academic Research,Academic Editing,Academic Writing,Academic Proofreading",50,100
Ukraine,"Management Consulting,Strategic PlanningResearch,Business Analysis,Marketing Strategy,Corporate Strategy,Internet Research,Business Plan,Startup Consulting,Financial Analysis",150,
United States,"Digital Marketing,Social Media MarketingContent Creation,Email Marketing,Inbound Marketing,WordPress Website,SEO,Instagram Marketing,Sales Copywriting,Facebook Advertising",23,95
Egypt,"Transcription,PDF ConversionTranslation English Spanish,Translation Spanish English,Technical Documentation,Data Entry",13,92
Australia,"Web Design,Graphic DesignMobile App Design,Landing Page,Figma,Adobe Photoshop,Adobe Illustrator,Adobe After Effects,Banner Ad Design,Logo Design",30,98
Bulgaria,"Adobe Photoshop,Product PhotographyVideo Editing,Adobe Premiere Pro,Retouching,Social Media Management",30,92
India,"Ukrainian,CSSEnglish Grammar,HTML5,English Proofreading,Russian Proofreading,Teaching Russian,English Spelling,French,JavaScript",10,100
Belarus,"Adobe Photoshop,Adobe IllustratorGraphic Design,Copywriting,Social Media Marketing,Blog Writing,Editing,Presentation,Business,Brand Consulting",50,
Venezuela,"Social Media Content,Social Media PostsFacebook Marketing,Instagram Stories,Pinterest Marketing,Instagram Marketing",50,99
Ukraine,"Physical Fitness,Article WritingBlog Writing,eBook Writing,Copywriting,Article Rewriting,SEO Writing",50,99
Argentina,"Video Editing,Adobe Premiere ProAdobe After Effects,Adobe Photoshop,Motion Graphics",20,95
Ukraine,"Sales Promotion,Translation English GreekTranslation Greek English,Translation Greek Russian,Translation Russian English,Translation English Russian",13,76
Egypt,"3D Rendering,Autodesk AutoCADSketchUp,Interior Design,Floor Plan Design,Adobe Photoshop,Interior Architecture,Lumion,Chaos Group V-Ray,Residential",14,
Venezuela,"3D Design,3D Modeling3D Rendering,Houdini,3D Animation,Blender,The Foundry NUKE,Eyeon Fusion,Adobe Photoshop,Maxon Cinema 4D",40,100
Philippines,"Audio Production,Musical CompositionSound Design,Sound Editing,Mixing,Mastering,Audio Postediting,Audio Engineering,Audio Restoration,Voice Over",38,100
Argentina,"Microsoft Excel,Microsoft PowerPointC++,Desktop Applications,Mobile App Testing,Visual Communication",30,
Ukraine,"Translation English Korean,Translation Korean EnglishEnglish Proofreading,Proofreading,Business,Localization",70,99
United States,"2D Design,3D Rendering3D Animation,3D Design,Adobe After Effects,2D Animation,Graphic Design,Motion Graphics,VFX Animation,Maxon Cinema 4D",35,94
Egypt,"Video Editing,Documentary FilmsCommercial,Facebook Advertising,Video Advertising",30,83
Ukraine,"User Experience Design,Adobe PhotoshopUser Interface Design,Website Wireframing,Adobe Illustrator,Sketch,Translation English Russian,Game Design,Wireframing,SaaS",75,100
Egypt,"Dashboard,Microsoft Power BI Data VisualizationVirtual Assistant,Sales,Canva,Presentation Design,Website Redesign,Copyediting,Translation Portuguese Spanish,Translation English Portuguese",13,
United States,"SEO,Social Media MarketingSocial Media Optimization (SMO),Marketing Strategy,Social Customer Service,Customer Retention,Technical Support,Article Writing,English Proofreading,Google Analytics",35,76
