Skills,worker_location,Price,SuccessRate
"Retouching,Marketing Collateral,Spelling,Illustration,Adobe After Effects",United States,56.66,100.0
"English,Geographic,User Experience DesignUser Interface Design,BrandingWebsite Copywriting,Logo Design,Interactive Voice Response,French,Graphic DesignAdobe Photoshop,Menu Design,SubtitlesTranscription,Social Media Marketing,Translation Spanish French,Venture Capital Consulting",India,122.51,100.0
"Marketing Management,English Spelling,Marketing Strategy,Caricature Drawing,Adobe Acrobat",Ukraine,3.0,98.0
"System Programming,Virtual Assistant,Brochure Design,Translation English French,Data Entry,Photo Manipulation,Official Documents Translation",Ukraine,19.81,100.0
"Translation,Vector Tracing,SolidWorks,Stakeholder Management,Translation English Brazilian Portuguese,Adobe Illustrator,Voice Acting,Layout Design",United States,38.09,100.0
"Translation,Voice Over,Translation English Vietnamese,Logo Design,Avid Pro Tools,Translation English Portuguese,Translation English Brazilian Portuguese,Customer SupportZendesk,Storyboarding,Corporate Brand Identity",United States,90.82,100.0
"SEO Writing,Adobe After Effects,Book,Systems Development",Spain,3.44,98.0
"Whiteboard Videos,Voice Over,Business Card Design,Audio Editing,Content Creation,Voice Recording,Web Design,Translation French Spanish,Business,Voice Talent,Male Voice Over",Egypt,48.08,100.0
"Microsoft Excel,Internet Research,Web Scraper,Graphic Design,Logo Design,Business Coaching,Excel VBA,WordPress",Ukraine,3.0,100.0
"Audiobook,Lifestyle Photography,Voice Over,Online Community Management,Voice Over English,Photo Editing,Object Oriented Design,Character Design,Adobe Photoshop Lightroom,Photograph Color Correction,Female Voice Over,Physical Fitness",Brazil,27.69,100.0
"Adobe Photoshop,Microsoft Excel,GraphQL",Canada,34.22,100.0
"Cocoa Touch,Link Building,Translation Czech Polish,Database Design,Proofreading,Icon DesignLogo Design,Translation English Spanish,Autodesk AutoCADMicrosoft Office,Dashboard,Power Query,Adobe InDesign",United States,50.67,98.0
"Print Design,Graphic Design,Logo Design,Brochure Design,Instagram Marketing,eBook Design,Architectural Rendering,Adobe PhotoshopInternet Marketing",Philippines,28.4,100.0
"Music Videos,Translation,Architecture Design,English Proofreading,Translation Polish English,Production Sound MixingProofreading,Voice Talent,Proofreading",Romania,58.46,100.0
"JavaScript,Policy Writing,Marketing Collateral",United States,41.41,95.0
"JavaScript,Drawing,Translation Spanish English,Translation,Arts,Adobe IllustratorGraphic Design,React,Parametric Design,Translation English Spanish,Data Entry,Photo Manipulation,Proofreading",Ukraine,77.86,100.0
"JavaScript,Graphic Design,Mockup,Adobe Photoshop,Photobook Design,Kajabi,Material Design,Web Design,Adobe Illustrator,Voice Acting,Mobile App Design",Argentina,24.94,100.0
"ESL Teaching,JavaScript,Product Listing,Voice Over,Translation Italian English,Graphic DesignVideo Production,Google Suite,Translation Dutch German,Network Programming,Translation English KoreanTranslation Korean English,Image EditingPhoto Editing,Graphic DesignDigital Marketing,Customer Support,Layout Design",Ukraine,15.15,80.0
"Customer Service,Shopify,Order Processing,Financial AnalysisGSAP,Blog Writing,Consulting,English Proofreading,Adobe Photoshop,Product Research,Adobe Illustrator,Customer Satisfaction,Adobe InDesign,Asana",China,25.76,100.0
"Print DesignGraphic Design,Translation English Arabic,Stakeholder Management",Serbia,16.11,100.0
"Fashion,Data Visualization,Proofreading,RetouchingClipping Path",Vietnam,69.67,95.0
"Poster Design,Book Cover Design,Curriculum DevelopmentProject Management,Voice Over,Pitch Deck,Architectural Rendering,Administrative Support,Communications,Brand Research,eLearning,Singing,Digital PhotographyRetouching,Urban DesignArchitectural Rendering,Female Voice Over,Adobe IllustratorAdobe Photoshop,Narration,Brochure DesignMagazine Layout,Photo Editing,Presentation Design,React,Training",Brazil,102.34,100.0
"Shopify,User Experience DesignUser Interface Design,Interior Design,Translation Italian Spanish,Autodesk Revit,Translation English Portuguese,Data Science,Translation Dutch German,SEO Keyword Research,eCommerce,Architectural Design,Email Marketing",Ukraine,49.98,99.0
Translation,Argentina,61.89,100.0
"Science Communication,Adobe Photoshop,Illustration,Adobe Illustrator,Adobe Premiere Pro",Venezuela,23.67,100.0
"Canva,Videography",United States,48.95,100.0
"Translation Russian EnglishEnglish Proofreading,Murals,YouTube Marketing,WordPress,Adobe Premiere Pro,Brand Identity DesignLogo Design,Copyediting",Ukraine,48.81,100.0
"Adobe PageMaker,Voice Over Australian Accent,Translation Russian English,Webisode Presentation,Autodesk Revit,Blender,Technical Translation",Mozambique,3.43,100.0
"Web Programming,Lead Generation,Logo Design,React Native,FileMaker Pro,Motion Design,Events,Firebase,Node.js,MongoDB,Video Conversion",United States,14.46,100.0
"Shopify,Product Listing,Motion Graphics,Voice Over,Photo Restoration,Autodesk Revit,WooCommerce,TV Broadcasting,Voice Over English,Translation English FrenchAmazon Seller Central,Social Media,Invoicing",United States,43.06,100.0
"Design Enhancement,Shopify,Graphic Design,Translation Polish Russian,Amazon,Ecommerce Platform Development,Logo Design,Information Design,Translation English Russian,Shopify Plus,Adobe InDesign,WooCommerce",Brazil,26.51,96.0
"Label and Package Design,Computer Graphics,SEO,CSS,HTML",Russia,186.36,100.0
"Music Videos,Academic Translation,VFX Design,Photography,Content Creation,Photo Editing,Journalism Writing,Photograph Color Correction,PreziKeynote,Architectural Design",Ukraine,6.49,100.0
"Shopify,Legal Translation,Translation Italian Spanish,Translation Dutch German,eCommerce,Content Writing,WooCommerce",United States,28.09,100.0
"Print Design,Translation,Packaging Design",United States,24.8,93.0
"Typography,Graphic Design,Venture Capital ConsultingBusiness Plan,Social MediaData Entry,Commercials,Illustration,Kajabi,Audiobook,Email Copywriting,Forex Trading,Adobe Premiere,Watercolor Painting,Trello",Pakistan,3.0,80.0
"Business Card Design,Audio Editing,Facebook Ads ManagerEmail Marketing,Adobe Illustrator,Search Engine Marketing,Human Resources",Argentina,40.01,100.0
"Localization,Medical Narration,Voice Over,Brochure Design,Voice Over English,Copywriting,Writing,Illustration,CopyrightNutrition,Translation Russian EnglishTranslation",Canada,61.0,100.0
"Pixologic Zbrush,Green Screen Videos,Graphic Design,Technical Recruiter,Menu Design,English Proofreading,English Grammar",Philippines,70.44,95.0
"English,Contract Law,Poster Design,Proofreading,Autodesk AutoCAD,Floor Plan Design,Adobe Photoshop,Adobe InDesign,Microsoft Office,Autodesk RevitAdobe Photoshop",Moldova,3.0,100.0
"MongoDB,Contract DraftingNatural Language Processing",Ukraine,37.4,100.0
"JavaScript,SEO Writing,Video Production,Graphic Design,Logo Design,Content Management,Interviewing,Go,Startup Consulting",United States,44.32,100.0
"Sketch,Splunk,Web Design,eCommerce Website,Salesforce CRM,Python",Ukraine,409.61,100.0
"Book,Data Science",Ukraine,3.0,100.0
"Singing,Translation Dutch English,Translation,Voice Over British Accent,Photo Editing,Events,Cartooning",Russia,33.63,93.0
"Localization,Music ProducingSound Editing,SEO Writing,Vector Tracing,Graphic Design,Translation English Polish,Logo Design,Organizational Development,Ghostwriting",Venezuela,66.85,100.0
"JavaScript,Graphic Design,Presentation Design,Character Animation",India,28.22,100.0
"Word Processing,YouTube,Brochure Design,Branding,System Administration,Translation Arabic Hebrew,SEO Audit,Adobe InDesignMicrosoft PowerPoint,TranscriptionCash Flow Software,Voice Acting,Stationery Design,Infographic,Writingnan,Color Grading",United States,31.62,92.0
"Concept Design,Page Speed Optimization,JavaScript,Label and Package Design,Digital Art,Voice Over,Blog Writing,Online Research,Brochure Design,Fashion Retouch,Portrait,Adobe After Effects,Voice Recording,SolidWorks",Palestinian Territories,77.99,94.0
"WordPress Website,Social Media MarketingContent Creation,Comedy Writing,TranslationTranslation English Arabic,Wordpress Multisite,PDF Conversion,Web ScraperEmail Marketing,Technical Editing,WebGL,Fiction Writing,ePub,Adobe InDesign",Ukraine,50.54,100.0
"SEO Writing,Graphic Design,Apple Core Data,Logo Design,Branding,Adobe Animate,Illustration,IllustrationLayout Design,Creature Design",Canada,39.89,100.0
"Adobe Photoshop,Adobe Illustrator",Ukraine,47.08,100.0
"Print Design,Graphic DesignAdobe Photoshop,Language Tutor,Film Production,Cartoon Character,Data Entry",Egypt,34.69,72.0
"Motion Graphics,Translation Italian English,Telemarketing,WritingTranslation English Italian,Adobe Photoshop,Translation English ChineseTranslation Chinese English,Translation Ukrainian English,Customer Support,Shopify Theme",Venezuela,3.0,100.0
"Customer Service,Translation English Spanish,Graphic Design",Jordan,53.97,97.0
"Translation,Advertising,Food Photography,Voice Over American Accent,Administrative Support",Egypt,27.9,99.0
"Product Design,Industrial Design,Blender,SolidWorks,Sketching,Shopify SEO",Argentina,34.77,100.0
"CRM,Microsoft PowerPoint,Google Slides,Flyer Design",United States,51.18,100.0
"Captions,YouTube Development,Graphic Design,Voice Over,Finance,Voice Recording,Articulate Presenter,Data Visualization,Architectural Rendering,Video Editing",United States,7.11,100.0
"Graphic Design,Translation,Photo Editing,Tutorial,Editing,User Interface Design,Translation Ukrainian English,Image Editing,Proofreading",United Kingdom,37.26,98.0
"JavaScript,Infographics,Furniture DesignInterior Architecture,Responsive Web Design,iOS Development,Web Design,Brand IdentityCorporate Brand Identity,Website Development,Website,Android App Development",Jordan,53.1,96.0
"InfusionSoft Marketing,Poster Design,Weebly,Adobe Photoshop LightroomAdobe Photoshop,Flyer Design,Corporate Brand Identity,Pardot Administration,Layout Design,Contract Negotiations",Honduras,23.76,100.0
"Amazon,Logo Design,Film Production,Adobe Photoshop,Adobe Illustrator,Translation English Arabic",United States,619.99,100.0
"TypeScript,Translation,Lead Generation,Shopify Templatesnan,Logo Design,Final Cut Pro,Audio Editing,Translation Dutch German,Ecommerce Platform Development,WooCommerce",Ukraine,3.0,79.0
"JavaScript,Audiobook,InfusionSoft Marketing,Voice TalentCommercials,Cocoa Touch,Medical Narration,Voice Over,Desktop Publishing,Musical Composition,Web Design,FMOD,FEA Simulations,Flyer Design,Voice Acting,Adobe InDesign",United States,47.46,100.0
"Microsoft Excel,Excel,Fashion Illustration,Translation Italian Spanish,Subtitles,Adobe Photoshop,Parametric Design,CorelDRAW,WooCommerce",Argentina,44.74,100.0
"JavaScript,Blog Content,Adobe Creative Suite,Executive Coaching,Project Planning,Translation French English,Adobe Photoshop,Illustration,eCommerce Website,Project Management,Proofreading",United Kingdom,3.0,100.0
"Computer Graphics,Intuit QuickBooks,Business Plan,Motion Design,Blender,Accounting",United States,27.77,51.0
"Print Design,Captions,Microsoft ExcelMicrosoft Excel PowerPivot,DrawingBook Cover Design,Logo Design,Transcription,Infographic,Shopify Theme,WooCommerce",Ukraine,28.9,100.0
"Translation French Dutch,Business Card Design,Teaching English,Wedding Videography,Microsoft PowerPoint",United States,40.73,100.0
"Adobe Audition,Logo Design,Production Sound Mixing,Sound Design,Mixing",Ukraine,61.3,100.0
"Video Production,Pitch Deck,Salesforce CRMSalesforce Lightning,Green screen,WordPresseCommerce,Speech,User Experience DesignCreative Direction",Indonesia,22.89,100.0
"Telephone Handling,eBook DesignBook,Subtitles,LogoPackaging Design,Video Animation,Photo EditingPhoto Manipulation,Storytelling,Texture Artist",New Zealand,32.55,94.0
"Photo Editing,Tableau,WritingEditorial Writing,Lesson Plan Writing,Translation Ukrainian English",Ukraine,57.34,93.0
"Infographics,Photo Restoration,PDF Conversion,Photo Editing,Translation English Croatian,Proofreading",United Kingdom,34.37,100.0
"Conversion Rate Optimization,JavaScript,React,Voice Over English",Bangladesh,19.88,100.0
"Logo Design,Sound Design,Adobe Photoshop,Foley Art,Sketching,Audio Production",Egypt,109.96,100.0
"Data Entry,Blender,Design Thinking",Argentina,79.58,100.0
"JavaScript,Translation Polish English",Ukraine,4.13,100.0
"Technical TranslationGeneral Office Skills,Graphic Design,Virtual Assistant,DevOpsAnsible,Sound Effects,Sound Design,Foley Art,Mixing,Python,Audio Post Production,Audio Production",United Kingdom,311.57,100.0
"Shopify,Excel,three.js,Motion Graphics,Instagram Marketing,Translation English ItalianTranslation Italian English,Photo EditingPhotography,Shopify Theme",Spain,41.05,75.0
"Video Production,Photography,Adobe Photoshop,Photo Editing,Video Color Correction,Photograph Color Correction,Graphic DesignAdobe Illustrator",United States,32.73,100.0
"Voice Over Australian Accent,Usability Testing,R,Logo Animation,Voice Over,Google Spreadsheets,Narration,Voice Over English,Microsoft Word,Motion Design,keras,Microsoft PowerPointTranslation English Japanese,Adobe After Effects,Concept Art,Company Valuations,Translation English Thai,Accounts Payable Management,Video Ads",Brazil,127.43,100.0
"IllustrationsLogo Design,Adobe Photoshop,Microsoft Excel,Logo Design",Belarus,73.24,100.0
"Portuguese,Translation,Business Card Design,eBook Design,Editing,Translation English Ukrainian,Layout Design",Ukraine,35.03,73.0
"Print Design,CodeIgniter,eBook Design,Web Crawling,Bootstrap,React,Content Writing",Ukraine,21.6,100.0
"Print Design,Logo Design,Live Interpreter,Adobe Photoshop,Web Design,Adobe Illustrator,Flyer Design,Corporate Brand Identity,Layout Design",United States,28.89,100.0
"Research Papers,Autodesk Revit,Microsoft Office,Data Visualization,Adobe Premiere Pro,Adobe Photoshop LightroomPhotography,Adobe Acrobat",Brazil,3.0,100.0
"Shopify Templates,Banner Ad Design,Catalog,Tableau,Corporate Brand Identity,Leadpages,Adobe Photoshop LightroomPhotography",Philippines,69.23,100.0
"Project ManagementData Entry,Image Editing,Photo Editing,Logo,Network Programming,Zendesk,Website Development,Financial WritingMarketing Strategy,Game Development,Android App Development,Customer Support,Adobe InDesign",Philippines,3.0,95.0
"Print Design,Translation,Illustration,Academic Writing,Adobe Illustrator",United Arab Emirates,348.63,100.0
"English,Whiteboard Animation,Drawing,Chinese,Translation French English,Prototyping,Audio Editing,Italian ProofreadingEnglish Proofreading,Adobe Photoshop,Fluid UI,Illustration,Character Design,Translation Spanish French,Venture Capital Consulting,Male Voice Over,Translation Italian French",United States,81.78,100.0
"Scriptwriting,Video Production,Virtual Assistant,Online Research,CAD Drafting,Autodesk AutoCAD,Illustration,Sound Editing,Drafting,Adobe Illustrator,Data Entry,Instagram Stories",United States,40.94,95.0
"Responsive Web Design,Translation,Figma,Adobe Photoshop,Web Design,Colorful",Ukraine,51.86,100.0
"Resume Writing,Customer Support,Copywriting",Ukraine,222.7,100.0
"Photo Editing,Translation Slovak English",Italy,33.51,100.0
"English,Microsoft Excel,Internet Research,French,Packaging Design,Translation English French,LinkedIn Recruiting,Local SEO,Translation Spanish French,Business Consulting,Translation Italian Russian,Fluid UI,Translation Italian French,Digital Illustration",Brazil,59.97,100.0
"Adobe Photoshop,PresentationManagement Consulting,Adobe Illustrator",United States,15.59,100.0
"Graphic Design,PHPDrupal,Poster Design,Logo Design,Business Card Design,Banner Ad Design,Adobe Photoshop LightroomPhoto Editing,Flyer Design,Male Voice Over",United Arab Emirates,12.25,100.0
"Microsoft Excel,Internet Research,Graphic Design,Virtual Assistant,Audiovisual Translation,Web Research",United Kingdom,28.99,74.0
"Community Management,Narration,Translation English SpanishTranslation Spanish English",Argentina,3.0,100.0
"Medical Translation,Apple iBooks,Flyer Design",Portugal,180.31,100.0
"PythonData Mining,Logo Design,Magazine LayoutIllustration,eCommerce Website,Video Animation,Translation English Ukrainian,Dashboard,Tableau,Visual Communication,Proofreading,Generative Design",Thailand,40.34,100.0
"Retouching,SEO Writing,Exterior Rendering,Real Estate,Illustration,Architecture Photography,Adobe Photoshop LightroomPhoto Editing,Graphic DesignCorelDRAW,Cartoon Character,Product Rendering,eLearning",Austria,8.08,100.0
"Shopify,Photography,Project Objectives,BlenderDaVinci Resolve,Swahili,Ecommerce Platform Development,Adobe Photoshop,Voice TalentVoice Recording,eCommerce,Adobe Premiere ProAdobe Illustrator,Blockchain,Research",Ukraine,119.39,100.0
"JavaScript,Infographics,Keynote,Graphic Design,Virtual Assistant,User Experience Design,BusinessBrand Consulting,Photo EditingPhoto Manipulation",Dominican Republic,79.33,100.0
"Voice Over,Commercials,Presentation,Voice Over English,Oil Painting,WordPress,Voice Recording,Mobile App Design",Pakistan,49.24,100.0
"Shopify,Translation Italian Spanish,OrganizerTranslation English Spanish,Adobe Photoshop,Adobe InDesign",Venezuela,19.5,96.0
"Shopify,Book,Voice Over,Narration,Voice Recording,Adobe Premiere ProDaVinci Resolve,Adobe Photoshop,TypographyMobile App Design,Translation English Chinese,Adobe Illustrator,Vue.jsNode.js,Grant Writing,Video Editing,eCommerce,Physical Fitness",South Korea,20.42,100.0
"Sales,Radio Broadcasting,Shopify,Narration,Voice Over English,Audiobook,eCommerce,Shopify Theme",Ukraine,6.7,100.0
"Landscape DesignArchitectural Rendering,jQuery,Web Scraper,Logo Design,Video UploadVideo Production,Exterior RenderingArchitecture Design,Social Customer Service,Landscaping,The Foundry NUKE,PHP",Bangladesh,13.94,83.0
"Graphic DesignMobile UI Design,AnimationGraphic Design,Travel Agent,Editorial Design,English Proofreading,Translation English Japanese,English Grammar,Data Entry",Ukraine,4.68,100.0
"R,Manufacturing Design,Translation Portuguese Spanish,MS Excel,Qlik Sense,Curriculum DesignOnline,Microbiology,Translation English FrenchEditing,Adobe Illustrator,Embroidery,Venture Capital Consulting,Translation English Thai,Motion GraphicsLogo Design,Data Recovery",Croatia,48.39,100.0
"Adobe Creative SuiteCorelDRAW,Shopify,MS Excel,Investment Banking,Ecommerce Platform Development,Interactive Design,Chroma Key,Quantitative Finance,Grammar,SQLTableau,eCommerce Website,Product Descriptions,Shopify Plus,keras,Photo Manipulation,Page Layout DesignDigital Illustration",Ukraine,51.86,100.0
"Trailer,Infographic,Data Scraping,Video Ads",Belarus,51.1,100.0
"Adobe Creative Suite,Shopify,Adobe PDF,Insurance Policy Analysis,Liquid,Writingnan",Ukraine,11.88,100.0
"English,QGIS,Translation French English,Translation English Italian,Book,French,Audio Editing,Italian ProofreadingEnglish Proofreading,Adobe Photoshop,Italian,Translation English Spanish,Presentation Design,Vector Graphics,PSD to HTML,Stop Motion Animation",Ukraine,12.41,100.0
"Logo Design,Adobe InDesignMicrosoft PowerPoint,Graphic Design,Corporate Brand IdentityGraphic Design",Russia,68.16,100.0
"Amazon,Logo Design,Industrial Design,mobi,Data Visualization,PHP,Translation English Russian,API Development",Pakistan,47.79,86.0
"Website TranslationAcademic Translation,Data Scraping,Film Dubbing,Presentation,mobi,Realist Painting,Photo Editing",Lithuania,50.86,94.0
"Data Analysis,Translation Dutch English,Microsoft Excel,Graphic Design,Virtual Assistant,MasteringiOS Development,Industrial Design,Voice Recording,Illustration,Editing,Translation English Russian,Corporate Brand Identity,Capture One Pro",United States,54.97,100.0
"Video Production,Adobe Audition,Recruiting,Facebook Advertising,Translation English Portuguese,Technical Support,Communication Skills,Voice Talent,Auditing,Corporate Brand Identity,Chat Support,Layout Design,Alibaba Sourcing",Macedonia,21.1,84.0
"Product DesignDesign Research,Graphic Design,Voice Over,PSD to HTML,Illustrations,Presentation Design,Business Consulting,Pitch DeckBusiness Plan",United Kingdom,17.66,91.0
"TypeScript,Translation,FreshBooks",Ukraine,3.0,100.0
"Microsoft Excel,Lead Generation,Flash Animation,Slovakian,Adobe Lightroom CC,Layout Design,Adobe Acrobat",Philippines,54.73,100.0
"Pitch Deck,Explainer Video,Adobe Illustrator,Graphic DesignAdobe Photoshop",Canada,224.95,100.0
"Microsoft PowerPoint,Logo Design",Ukraine,53.98,100.0
SEO,Egypt,21.67,100.0
"Autodesk Revit ArchitectureSketchUp,Explainer Video",Ukraine,3.0,95.0
"Internet Research,Translation,Graphic Design,Translation English Polish,Logo Design,Brand Positioning,Branding,Adobe SoundboothFilm Dubbing,Voice Acting,Translation Ukrainian English,Caricature DrawingDigital Painting,Email DesignGraphic Design",Serbia,47.26,88.0
"Translation,SEO Keyword Research,Sales Promotion,Data Mining,Business Coaching,Klaviyo,Facebook Marketing,Adobe InDesign,Marketing,Startup Consulting,Architectural Design,Brand Development",India,30.61,100.0
"English,R,MS Excel,Voice Over,Translation Chinese Thai,Writing,TranslationMarketing Research,Adobe Photoshop,Voice Talent,Press Advertising,Corporate Finance,Corporate Brand Identity,keras",United Kingdom,33.2,92.0
"Print Design,Web Programming,Poster Design,AngularJS,Business Consulting,Database Programming,MongoDB",China,36.12,95.0
"Mechanical Engineering,Shopify,Engineering Drawing,Graphic Design,Mathematics,Data Mining,Translation Italian Spanish,Product Design,Liquid,Frontend Development,Sketching,eCommerce Website,Blender,Shopify Plus,SolidWorks,Corporate Brand IdentityPrint Design",Pakistan,16.65,100.0
"Graphic Design,Financial Analysis,Proofreading",United States,196.46,100.0
"Typography,Drawing,Translation Russian English,Voice Over,Translation Russian EnglishEnglish Proofreading,eBook Design,Illustration",Austria,107.0,100.0
"Campaign Management,Responsive Web Design,Graphic Design,Logo Design,Custom Part Design,Acrylic Painting,Illustration",Philippines,26.98,100.0
"JavaScript,IllustrationCorporate Brand Identity,Translation,VideographyVideo Editing,Translation English Japanese,Adobe Dreamweaver",Russia,50.18,98.0
"SEO Writing,Translation,Adobe IllustratorAdobe Creative Suite,Design for Manufacturing,Google Docs,Adobe Illustrator,Corporate Brand Identity,Graphic DesignAdobe Illustrator,Adobe Photoshop LightroomPhotography,DevOpsProject Management",Argentina,47.8,100.0
"Logo Design,Illustration,Graphic Design,Audio Editing",Venezuela,123.15,100.0
"Business Writing,REST,Finance,CSS,Translation English French,Data Visualization,WordPress,Adobe Illustrator,Presentation Design,Chat Support",Colombia,24.97,100.0
"JavaScript,Microsoft ExcelMicrosoft Excel PowerPivot,Shopify,CAD,Translation Italian Spanish,Branding,VideographyVideo Editing,Technical Editing,Business,Web Research,Presentation Design,Translation English ArabicWriting,eCommerce,Shopify SEO",Russia,64.98,100.0
"Writing,Data Visualization,Adobe PhotoshopAdobe PDF,Adobe InDesign",Ukraine,47.25,79.0
"Blog Writing,UX Design,Icon Design",United States,48.9,97.0
"WixWordPress,Software Testing,Customer SupportZendesk,eCommerce Website,eCommerce,Ecommerce Platform Development,WooCommerce",Russia,31.04,100.0
"Social Media Management,Graphic DesignBrochure Design,Industrial Design,Photo Editing,English Spelling,Blender,CopywritingAnalytics",United States,82.89,100.0
"Civil Law,Translation,Marketing Research,Email Design,LogoAdobe Photoshop,Adobe Illustrator,Autodesk AutoCADMicrosoft Office",Ukraine,49.71,100.0
"Writing,PreziStrategic Planning",Serbia,9.83,100.0
"Adobe InDesign,Industrial Design,Layout Design,Pricing Strategy Consulting",Indonesia,130.39,99.0
"JavaScript,CSS,Mailchimp,Illustration,Translation English Ukrainian,eLearning,Sketching",Argentina,28.42,100.0
"JavaScript,Translation English Italian,Subtitles,Translation English Portuguese,Adobe Photoshop,Adobe Illustrator,Sketching",Egypt,42.33,100.0
"Architectural Design,Yii,Book Cover Design,CSS",Ukraine,43.03,99.0
"IllustrationLogo Design,Adobe Creative Suite,Translation,Architectural Rendering,Layout Design",Macedonia,43.22,100.0
"Microsoft Excel,Internet Research,Microsoft OfficeVideo Editing,Poster Design,Graphic Design,Excel VBA,Adobe Photoshop,Logo,Stationery Design,Corporate Brand Identity,Spanish ProofreadingEditorial Translation",Philippines,63.27,100.0
"Adobe IllustratorBusiness Card Design,Music Engraving,Data Analysis,Translation Czech Polish,Translation French Russian,Proofreading",China,65.39,96.0
"Video Editing,Landing Page,Academic Translation,Relationship Management,Translation,Animated Explainer,CodeIgniter,DaVinci Resolve,Spreadsheets,Vector Graphics,Academic WritingAcademic Translation,Google Forms,Video Design,Order Management,Copyediting",Ukraine,34.48,100.0
"Adobe IllustratorAdobe InDesign,Shopify,Graphic Design,Comic Art,Shopify Templatesnan,Logo Design,Subtitles,Translation English Slovak,Fashion,Statistics,Data Visualization,Translation English Japanese,User Interface Design,Sketching",Ukraine,25.25,100.0
"Scientific Research,SEO Writing,Shopify,Translation,Podcast Production,Academic Writing,eCommerce Website,Account Management,eCommerce",Egypt,75.88,94.0
"Content Writing,Adobe Premiere ProColor Grading,Training",United States,3.0,89.0
"Sales LettersSales Writing,Video Editing,eLearning",Spain,55.59,100.0
"Print Design,Captions,Microsoft Excel,Internet Research,English,Motion Graphics,Logo Design,Facebook Advertising,UX Design,Flyer Design,Explainer Video,Video Ads",United States,40.98,100.0
"Web Design,Frontend Development,Magazine Layout",El Salvador,43.79,88.0
"Realist Painting,Interactive Voice Response,Digital Illustration",Singapore,48.58,100.0
"Asterisk,AWS CodeDeploy",Egypt,155.86,100.0
"Poster Design,Academic Writing,Analytics,Flyer Design,Voice Acting",United States,49.27,93.0
Liquid,United Arab Emirates,49.8,92.0
"Interior Architecture,Structural Analysis,Character Animation,Reinforced Concrete Structures,Document Review,Autodesk AutoCAD,Modeling,Presentation Design,Steel Structures,Explainer Video",Ukraine,36.79,100.0
"Logo Design,Data Entry,Writing",Nigeria,82.69,85.0
"Marketing ResearchWeb Research,Product Design,Branding,Illustration,Translation English Russian,Digital IllustrationSketching",United States,47.32,98.0
"Sales,Translation Portuguese Spanish,Translation Italian Spanish,Conversion Rate Optimization,WebGL,Corel Painter,Translation English Arabic",Egypt,28.22,100.0
"Adobe IllustratorAdobe InDesign,Adobe IllustratorLogo Design,Label and Package Design,Letterhead Design,Branding,Poster DesignBook Cover Design,Logo,Architectural Rendering,Analog Electronics",Spain,14.06,100.0
"Infographics,Translation Spanish English,YouTube,Poster Design,Spreadsheets,Adobe Photoshop,Web ResearchTyping,Data EntryMicrosoft Excel",Ukraine,37.91,100.0
"English,Translation French English,TranslationVoice Acting,Consulting,Translation Slovak English,Translation French Spanish,Voice Acting,Voice Over French,Adobe InDesign",Kenya,117.55,95.0
"Translation Russian Italian,Webisode Presentation,Whiteboard Videos,Voice Over,Brochure Design,Voice Over English",Ukraine,82.53,100.0
"Calendar Management,Administrate,Print Design,Brand Licensing,Corporate Brand Identity,Frontend DevelopmentWordPress,Adobe Acrobat",Russia,48.72,100.0
"Graphic Design,Translation,Logo Design,Writing,Translation English Russian,Proofreading,Flyer Design",Thailand,243.75,100.0
"Amazon Web Services,Legal Translation,RStatistics,ElectronicsResearch,Selenium,Food Photography,Office,Language Tutor,Translation French Russian,Translation English Japanese,Photograph Color Correction,Python,Payment Processing,Linux System Administration,Copyediting,Sketching",Philippines,435.1,100.0
"ProofreadingEditing,Sales,TranslationTranscription,Brand Marketing,Logo DesignArt Direction,Rapid Prototyping,Graphic Design,JavaScript,Logo Design,Branding,Adobe InDesignAdobe Illustrator,iPhone UI Design,English Proofreading,Translation Japanese English,Mobile UI Design,Adobe Illustrator,English Grammar,Photo Manipulation",Ukraine,19.08,94.0
"Audio Post Production,LaTeX,Brochure Design,Dialog Editing,Food Photography,Editing,TranscriptionExcel,Presentation Design,Animation",South Korea,16.87,100.0
"Translation,Logo Design,Translation Arabic English,Trailer,Adobe InDesignMicrosoft PowerPoint,WordPress,Data Entry",United States,46.65,100.0
"CRM Software,Motion Graphics,Research Papers,Product Label,Content Writing,Communications,WooCommerceElementor,Proofreading",Philippines,34.65,100.0
"Narration,Watercolor Painting,Illustration,Translation Japanese English,Corporate Brand Identity,Shopify Theme,WooCommerce",Pakistan,54.74,100.0
"Keynote,Translation English FrenchAmazon Seller Central,Translation English Koreannan,UX Design,Translation English Russian",Australia,19.68,100.0
"IllustrationsLogo Design,Promotional Video,Adobe PremiereAdobe After Effects,Jenkins,ElectronicsResearch,AWS CodeDeploy,Social Networking Development,pandas,Adobe Photoshop,Motion Design,Illustration,Explainer Video,Python,Amazon Web Services,PostgreSQL",Ukraine,67.32,100.0
"Whiteboard Animation,Figma,Link BuildingSearch Engine Marketing,Illustration,Proofreading",Brazil,21.17,97.0
"Chemical Engineering,Natural Language Processing,Design Patterns,Microsoft Word,Print Advertising,Email Technical Support,Photo ManipulationAdobe Photoshop",Philippines,20.46,100.0
"Voice TalentVoice Over,PDF Conversion,English Proofreading,Adobe Photoshop,Adobe Illustrator,Teaching Japanese,Adobe InDesign",Serbia,3.0,99.0
