Skills,experience,fixed_price,client_location,project_type
"Adobe Photoshop,Graphic Design,Adobe Illustrator",Expert,271.0,South Africa,One-time project
Google Maps API,Entry level,284.0,New Zealand,Complex project
"JavaScript,Customer Service,Lead Generation,Software Design,Maps,Copywriting",Expert,8000.0,New Zealand,One-time project
"SQL,Microsoft Excel,Automation,Microsoft Power BI Development,SEO,React Native,Legal Services,API Integration,Python,AJAX",Expert,7952.0,Australia,One-time project
"Copywriting,Writing,API,Research",Expert,1286.0,United States,One-time project
"Customer Service,consecutive interpretation,Live Interpreter,Resource Allocation,Google Maps API,Interpretation,Cold Calling,Latin American English Accent",Intermediate,8000.0,Australia,Ongoing project
"Graphic Design,Creative Writing",Expert,7814.0,United States,Ongoing project
"SEO,Content Writing",Intermediate,41.0,Argentina,One-time project
"English,Lucidpress,Videography,Color Grading,API",Intermediate,2178.0,India,One-time project
"Graphic Design,Adobe Illustrator,API,SEO Keyword Research,Adobe InDesign,Accounts Payable",Entry level,858.0,Israel,Complex project
"Adobe Photoshop,Graphic Design,Adobe InDesign,Infographics",Intermediate,892.0,Australia,One-time project
"Graphic Design,Visual Communication",Entry level,3821.0,Sweden,Ongoing project
"Retouching,Graphic Design,Video Production,iOS,Copywriting,Smart Contracts,Adobe Illustrator,Mind Mapping,Adobe InDesign",Intermediate,1460.0,Canada,One-time project
"JavaScript,Graphic Design,HTML",Expert,917.0,United States,Ongoing project
"Georeferencing,Storytelling,Web Application",Expert,1208.0,United States,One-time project
"JavaScript,SEO,iOS",Intermediate,8000.0,Canada,One-time project
SQL,Entry level,1030.0,Russia,Ongoing project
"User Profile Creation,Mobile App Design,Game Design Document,Puzzle,Smart Watch,Game Development,Map Integration,Content Writing,API,Android",Intermediate,1514.0,United States,Ongoing project
"Sales,Google APIs,Copywriting,Google Maps API,Data Entry,Adobe InDesign,API",Entry level,8000.0,Pakistan,Ongoing project
"Content Writing,Graphic Design,Lead Generation",Intermediate,1696.0,India,One-time project
"Adobe Photoshop,SEO Keyword Research,Graphic Design,Adobe Illustrator",Entry level,8000.0,United States,Ongoing project
"Comic,Adobe Illustrator,API",Expert,710.0,Canada,One-time project
"social media posts,Twitter,Google Maps API,Onsite,HootSuite,Voice Over,Instagram,LinkedIn,Instagram Stories,consecutive interpretation,Desktop Ad,Spanish,Social Media Content Creation,Project Management Capability,Google Calendar,eCommerce,Customer Service,Retail,Telemarketing,US English Dialect,instagram marketing,Task Coordination,Cold Calling",Intermediate,4905.0,Mexico,One-time project
"SEO,Sales Development,Copywriting,Facebook Advertising",Entry level,7599.0,Singapore,One-time project
"SQL,Business Analysis,Requirement Analysis,Google Maps API,SEO Keyword Research",Expert,1436.0,United States,One-time project
"Social Media Management,English",Entry level,5.0,United States,One-time project
"English,.NET Framework,Content Writing,API",Expert,7803.0,United States,Ongoing project
WordPress,Entry level,184.0,Netherlands,Ongoing project
"File Maintenance,Virtual Assistant,Personal Administration,Scheduling,Email Communication,File Management,PHP,Administrative Support,Communications,Form Completion",Expert,7952.0,China,One-time project
"Data Scraping,Translation,Brochure,Mobile App Development,Animal Illustration,Romanian,API",Intermediate,766.0,China,One-time project
"Graphic Design,Copywriting,Adobe Illustrator",Entry level,7972.0,Israel,Ongoing project
"Requirement Analysis,Adobe Illustrator,Technical Writing",Expert,385.0,Australia,One-time project
"Adobe Photoshop,Marketing",Expert,7802.0,Bahrain,Ongoing project
"Oberlo,Adobe Illustrator,Human Resources",Expert,8000.0,Mozambique,Ongoing project
"Software Design,Figma,Product Design,Responsive Design,Immigration Documents,Wireframing,Cryptocurrency,Digital Publication,Website,SEO Keyword Research,Google Local Business Optimization,Architectural Design,API,Research",Expert,5.0,Pakistan,One-time project
"Literary Interpretation of Biblical Narrative,Branding,Mockup,parallelization,User Flows,Instagram,Android",Entry level,1367.0,Australia,One-time project
"JavaScript,Sales Development,Geoserver,Lucidpress,Cryptocurrency,Firebase,Data Entry,investing,HTML",Entry level,8000.0,Canada,Ongoing project
"Graphic Design,Content Writing",Intermediate,1679.0,Turkey,One-time project
SEO,Intermediate,100.0,South Korea,Ongoing project
"Infographics,WordPress,Copywriting",Entry level,1118.0,Turkey,One-time project
"Sage,Facebook Ads Manager,Firebase,WordPress Plugin",Expert,353.0,United States,One-time project
Requirements Specification,Expert,1077.0,Canada,One-time project
Google Maps API,Entry level,5.0,Israel,One-time project
