Skill,client_location,fixed_price,experience,project_type
"Tablet,Gaming Console,Smart Watch,PC,Hybrid,iOS,Puzzle,Prototype,Game Development,Mobile Game,Unity,Game Design,Android,Game Design Document,Phone",India,1500.0,Expert,Ongoing project
"Pixel Art,Graphic Design,Animation,Adobe Illustrator,Illustration",Australia,60.0,Intermediate,One-time project
"Article,Blog Content,SEO,Research,Portuguese,English,Brazilian Portuguese Dialect,Article Writing,Proofreading,Editing,Writing,Creative Writing,SEO Writing,Blog Writing,Marketing Strategy,English to Brazilian Portuguese Translation",Hong Kong,80.0,Expert,Ongoing project
Graphic Design,United States,100.0,Intermediate,One-time project
"WordPress,Mapbox,JavaScript,Map Integration,PHP,API,Android,iOS,Web Application",United States,8000.0,Expert,Ongoing project
"Content Writing,Research,Writing,Marketing Research,Data Entry,Article Writing,Copywriting",France,8000.0,Intermediate,One-time project
"Communications,Virtual Assistant,Customer Service,Sales,Lead Generation,Telemarketing",United States,8000.0,Intermediate,One-time project
"nft,Cartoon,Character Design",Germany,350.0,Expert,Complex project
"Copywriting,Content Writing,Website Content,Marketing",United States,8000.0,Intermediate,One-time project
"JavaScript,Prototype,Information Architecture,Components Design,Software Design",Canada,8000.0,Intermediate,Ongoing project
"Technical Writing,API Documentation,Technical Documentation,English,WordPress,PHP,API",Bahrain,8000.0,Intermediate,Ongoing project
"Immigration Law,Green Cards,Work Visas,Immigration Documents,Legal Services,Legal",United States,1000.0,Intermediate,Ongoing project
"Lucidpress,Graphic Design",United States,8000.0,Intermediate,Ongoing project
"Adobe Photoshop,Photo Editing,Image Editing",Israel,15.0,Intermediate,One-time project
"API Integration,bubble",India,350.0,Intermediate,One-time project
"Data Entry,Product Management,Google Maps API,Web Programming,Accuracy Verification,Graphic Design,HTML,Product Roadmap,Mobile App Strategy,JavaScript,Shopify,List Building",United States,8000.0,Expert,Ongoing project
"Product Roadmap,Web Programming,Agile,JavaScript,Prototype,Mobile App Strategy,Technical Writing,Lean Startup",United States,8000.0,Expert,Ongoing project
"Adobe Illustrator,Graphic Design,Illustration,Drawing",United States,8000.0,Expert,One-time project
"JavaScript,Game Development,React",Australia,8000.0,Intermediate,One-time project
"mailbox,Information Security",Germany,8000.0,Expert,Ongoing project
"Instagram,Social Media Advertising,Facebook,Social Media Marketing,Facebook Advertising,Social Media Management",Pakistan,100.0,Expert,Complex project
App creation,Germany,8000.0,Entry level,One-time project
"Blender,Final Cut Pro,Adobe After Effects,VFX,Motion Graphics,Animation,Adobe Premiere Pro,Autodesk Maya",United States,8000.0,Expert,Ongoing project
"wildberries,TITAN Technology",Taiwan,120.0,Entry level,Complex project
"Executive Support,Google Suite,File Management,File Maintenance,Inventory Management,Light Project Management,Presentation,Form Completion,Product Listings,Virtual Assistance,Virtual Assistant,Data Entry,Email Communication,Research,Personal Administration,Communications,Scheduling",United States,8000.0,Entry level,Ongoing project
Marketing Strategy,Hong Kong,100.0,Intermediate,One-time project
"Oberlo,Shopify,dsers,AliExpress,dropshipping",Belgium,50.0,Expert,One-time project
English,United Kingdom,8000.0,Intermediate,One-time project
"Data Entry,Data Scraping,Data Mining",Ireland,100.0,Expert,Complex project
"CSS,Mapbox,JavaScript",United States,8000.0,Intermediate,One-time project
HTML,Mexico,8000.0,Expert,One-time project
"US English Dialect,Instruction Manual,User Manual,English,Writing,Technical Writing,Technical Documentation",Canada,8000.0,Expert,One-time project
Sewing,United States,8000.0,Entry level,One-time project
"Accuracy Verification,English,Data Entry,Company Research,Web Research,Marketing Research,Transaction Data Entry,investing,Cryptocurrency,Google Sheets",Canada,8000.0,Entry level,One-time project
"Infographics,Graphic Design,Adobe Illustrator",United States,8000.0,Intermediate,One-time project
"Local SEO,Retail,SaaS,Google My Business,Maps",Malaysia,8000.0,Intermediate,One-time project
"Animal Illustration,Character Design,Illustration",Netherlands,8000.0,Intermediate,One-time project
"TypeScript,Angular,API",Saudi Arabia,150.0,Expert,One-time project
"WordPress,JavaScript,PHP,HTML,CSS,Web Programming",United States,25.0,Intermediate,One-time project
"Audio Production,Sound Editing,Audio Editing,Sound Mixing,Audio Effects,Audiobook",United States,8000.0,Entry level,Ongoing project
Unreal Engine,United States,300.0,Intermediate,One-time project
"User Flows,Mockup,Journey Mapping,Mind Mapping",United States,8000.0,Expert,One-time project
"Vector Graphics,Animation,Adobe Illustrator,Illustration",South Africa,8000.0,Expert,Ongoing project
